Castaway	Job	URL	Episode title	Book	Luxury	Favourite track	Presenter	Date first broadcast	Time first broadcast	Artist 1	Song 1	Artist 2	Song 2	Artist 3	Song 3	Artist 4	Song 4	Artist 5	Song 5	Artist 6	Song 6	Artist 7	Song 7	Artist 8	Song 8
Frank Phillips		https://www.bbc.co.uk/programmes/p009y4ln	Frank Phillips	A Dictionary of Origins by Eric Partridge	Armchair	Etude No 13 in A Flat Major (Opus 25 No 1) by Frédéric Chopin	Roy Plomley	1964-11-23	13:40	Johannes Brahms	Symphony No. 3 in F major	Giacomo Puccini	In questa Reggia (from Turandot)		Etude in A flat major, Op. 25/1	Jean Sablon	Vous qui passez sans me voir	Robert McFerrin & Adele Addison	Bess, you is my woman now (from Porgy and Bess)	Kenneth McKellar	She Moved Through the Fair	Joe Loss and His Band	In the Mood	Edward Elgar	Falstaff - Interlude No. 1
Honor Blackman		https://www.bbc.co.uk/programmes/p009y4lw	Honor Blackman	Personal anthology of poetry	Michelangelo's David	Ya Got Trouble from The Music Man by Robert Preston	Roy Plomley	1964-11-16	13:40	Joan Baez	Manha de Carnaval	Georg Philipp Telemann	Suite for Recorder and Strings in A minor	Frank Sinatra	The Second Time Around	Carlos Montoya	Alorno y Verdial	Lena Horne	Today I Love Everybody	Robert Preston	Ya Got Trouble from The Music Man	Johnny Dankworth & His Orchestra	Avengers Theme	Erroll Garner	Teach Me Tonight
Hardie Ratcliffe		https://www.bbc.co.uk/programmes/p009y4m4	Hardie Ratcliffe	Russian grammar	Guitar	Scheherazade by Nikolai Rimsky-Korsakov	Roy Plomley	1964-11-09	13:40		Thunder and Lightning Polka	Ermanno Wolf‐Ferrari	The Jewels of Madonna (Act 3 Intermezzo)	Lars‐Erik Larsson	Concerto for Saxophone	Harry Gold and his Band	The Charleston	Nikolai Rimsky-Korsakov	Scheherazade	Ted Heath & His Music	South Rampart Street Parade	Richard Strauss	Till Eulenspiegels lustige Streiche	Vincenzo Bellini	La Sonnambula Act 2
Sir Harry Brittain		https://www.bbc.co.uk/programmes/p009y4m8	Sir Harry Brittain	The Natural History of Selborne by Gilbert White	Wine	Silent Night, Holy Night by Massed Miners' Choirs	Roy Plomley	1964-11-02	13:40	Massed Miners' Choirs	Silent Night, Holy Night	Arthur Sullivan	A more humane Mikado (from The Mikado)	St Mark's Church Choir, North Audley Street, London	He Who Would True Valour See	Alexander Gretchaninov	Glory To Thee Oh Lord (from Twofold Litany)	Richard Tauber	Goodbye	Peter Dawson	D' Ye Ken John Peel	Massed Chorus of 200 Voices	Eternal Father Strong to Save	Benjamin Britten	Spring Symphony
William Douglas-Home		https://www.bbc.co.uk/programmes/p009y4md	William Douglas-Home	Collected plays by William Douglas-Home	Daughters' two teddy bears	Galway Bay by Brendan O'Dowda	Roy Plomley	1964-10-26	13:40	George Frideric Handel	Ombra mai fu (Largo) (from Xerxes)	Pipes and Drums of HM 2nd Battalion Scots Guards	The Flowers of the Forest	Leslie “Hutch” Hutchinson	Two Bouquets	Brendan O’Dowda	Galway Bay	London Crusader Choir	O Love That Wilt Not Let Me Go	Giuseppe Verdi	Di Provenza il mar (from La traviata)	Peter Sellers	Lord Badminton's Memoirs	Benjamin Britten	The Foggy, Foggy Dew
Reverend W Awdry		https://www.bbc.co.uk/programmes/p009y4mk	Reverend W Awdry	Robinson Crusoe by Daniel Defoe	Writing materials	Baal, We Cry to Thee by Felix Mendelssohn	Roy Plomley	1964-10-19	13:40	Train Sound Effects	West Highland Line near Tyndrum	Felix Mendelssohn	Baal, we cry to thee (from Elijah)	Mabel Constanduros & Michael Hogan	The Bugginses Prepare for a Party	Johann Sebastian Bach	Jesu, Joy of Mans Desiring from Cantata BWV 147	Arthur Sullivan	When I was a lad (from HMS Pinafore)	Train Sound Effects	Trains in the hills	Johnny Morris	Edward and Gordon	Unknown	The Old Lady Drives to Dolgoch (recorded on the Talyllyn Railway)
Jon Pertwee		https://www.bbc.co.uk/programmes/p009y4mq	Jon Pertwee	The Culture of the Abdomen: A Cure of Obesity and Constipation by F A Hornibrook	Guitar	Georgia on my Mind by Ray Charles	Roy Plomley	1964-10-12	13:40	Ray Charles	Georgia on my Mind	Wolfgang Amadeus Mozart	Venite inginocchiatevi (from The Marriage of Figaro)	Choir of the Russian Church of the Metropolitan of Paris	Multos Annos (Russian Orthodox Liturgy)	Lonnie Donegan	Love is Strange	Rafael Romero & R. Montoya Jarrito	Cuatro Saetas	John Lee Hooker	Dimples	Wolfgang Amadeus Mozart	Der Hölle Rache (from The Magic Flute)	Miriam Makeba	Suliram (Indonesian Lullaby)
John Bratby		https://www.bbc.co.uk/programmes/p009y4n3	John Bratby	Breakdown by John Bratby	Typewriter and paper	Empty Bed Blues by Bessie Smith	Roy Plomley	1964-10-05	13:40	Alma Gluck	Carry Me Back to Old Virginny	Perry Como & the Ray Charles Singers	Glendora	Anne Shelton	Tangerine	The Alberts	Morse Code Melody		Heartbreak Hotel	Shirley Temple	Animal Crackers in My Soup	The Temperance Seven	Pasadena	Bessie Smith	Empty Bed Blues
Dirk Bogarde		https://www.bbc.co.uk/programmes/p009y4np	Dirk Bogarde	The Swiss Family Robinson by Johann Wyss	Conversation Piece by John Singer Sargent - a painting of the Sitwells	Symphony No 5 in C Minor (Opus 67) by Ludwig van Beethoven	Roy Plomley	1964-09-28	13:40	Franz Liszt	Consolation No. 3 in D flat major	Oscar Straus	C'est la saison d'amour (from The Three Waltzes)	Franz Liszt	Piano Concerto No 1 in E Flat / Hungarian Fantasy	Judy Garland & the Gordon Jenkins Orchestra	The Worst Kind of Man	Franz Lehár	Vilja (from The Merry Widow)	Ludwig van Beethoven	Symphony No. 5 in C minor	Carol Channing	Hello Dolly	Rex Harrison	I've Grown Accustomed to Her Face from My Fair Lady
Robbie Brightwell		https://www.bbc.co.uk/programmes/p009y4p7	Robbie Brightwell	The Human Situation by MacNeill Dixon	Safety razor	When I Fall in Love by Nat King Cole	Roy Plomley	1964-09-21	13:40	Ludwig van Beethoven	Symphony No. 6 in F major 'Pastoral'	The Goons	Tales of Old Dartmoor		Pilgrims' Chorus (from Tannhäuser)	Nat King Cole	When I Fall in Love	Peter Sellers	Wouldn't it Be Loverly?	Royal Albert Hall Choral Society	O Come All Ye Faithful	Winston Churchill	This Was Their Finest Hour (speech, 18 June 1940)	Geoff Love & His Orchestra	The Call of the Faraway Hills
Russell Brockbank		https://www.bbc.co.uk/programmes/p009y4q2	Russell Brockbank	Navigational manual	Drawing materials	Violin Concerto in D by Johannes Brahms	Roy Plomley	1964-09-14	13:40	Charlie Parker's Reboppers	Summertime (from Porgy & Bess)	Charles‐Marie Widor	Toccata (from Organ Symphony No. 5 in F minor)	Jean Sibelius	Finlandia	Heitor Villa‐Lobos	Prelude	Sound Effects	BRM V16 Racing Car in Circuit at Silverstone	King's College Chapel Choir	Past Three O'Clock	The Oscar Peterson Trio	Tenderly	Johannes Brahms	Violin Concerto in D major
Stratford Johns		https://www.bbc.co.uk/programmes/p009y4qn	Stratford Johns	Encyclopaedia Britannica	Painting by Goya	Tea for Two by Binnie Hale & Seymour Beard	Roy Plomley	1964-09-07	13:40	Jean Sibelius	Symphony No. 1 in E minor	Stanelli and his Hornchestra	Noises of London / I Want to Be Happy	Woody Herman and His Orchestra	At The Woodchopper's Ball	Binnie Hale & Seymour Beard	Tea for Two	Igor Stravinsky	The Rite of Spring	Shelley Berman	Hold On	Ludwig van Beethoven	Piano Sonata No. 8 in C minor, Op. 13 'Pathétique'	Frank Sinatra	Ol' Man River
Lord Thomson of Fleet		https://www.bbc.co.uk/programmes/p009y4r4	Lord Thomson of Fleet	Encyclopaedia Britannica	Radio receiver	The Blue Danube Waltz Opus 314 by Johann Strauss II	Roy Plomley	1964-08-31	13:40	Vera Lynn	Wishing	Sing-it-Again Ensemble & the Steve Race Four	Cruising Down the River	Guy Lombardo and His Royal Canadians	Everywhere You Go	Rikki Henderson	A Pretty Girl is Like a Melody	Guy Lombardo and His Royal Canadians	The Band Played On	The Ray Charles Singers	If You Were the Only Girl in the World	Flanagan and Allen	Underneath The Arches	Johann Strauss II	The Blue Danube
Cilla Black		https://www.bbc.co.uk/programmes/p009y4rq	Cilla Black	Alice in Wonderland by Lewis Carroll	Mona Lisa	Anyone Who Had a Heart by Cilla Black	Roy Plomley	1964-08-24	13:40	Sophie Tucker	My Yiddishe Momme	Rita Moreno & George Chakiris	America	The Beatles	Love Me Do	Cilla Black	Anyone Who Had A Heart	Henry Mancini, His Orchestra & Chorus	Moon River	Frankie Vaughan	Priscilla	Johann Sebastian Bach	Fugue in D minor	Dinah Washington	September in the Rain
Percy Merriman		https://www.bbc.co.uk/programmes/p009y4s8	Percy Merriman	Dictionary of National Biography	Field glasses	Route March by Roosters Concert Party and Military Band	Roy Plomley	1964-08-17	13:40	Roosters Concert Party and Military Band	Route March	Edward German	Henry VIII Dances	Webster Booth	Roses of Picardy	The Roosters Concert Party	Old Comrades Reunion	Frank Chacksfield & His Orchestra	Autumn Concerto	Rooster Concert Party	A Village Concert	Palace Theatre Orchestra	Bric-a-Brac (Selection)	The Roosters Concert Party	Lights Out
Stephen Grenfell		https://www.bbc.co.uk/programmes/p009y4sf	Stephen Grenfell	Golden Treasury by Francis Palgrave	Writing materials	The Last Post by Sikh Regiment 2nd Battalion Buglers	Roy Plomley	1964-08-10	13:40	Eve Boswell	Sarie Marais	The Mantovani Orchestra	Ramona	Sikh Regiment 2nd Battalion Buglers	The Last Post	George Gershwin	Rhapsody in Blue		I Dream of Jeannie With the Light Brown Hair	William Shakespeare	Shall I Compare Thee to a Summers Day? (Sonnet 18)	The Melachrino Strings And Orchestra	The Legend of the Glass Mountain	King's College Chapel Choir	Abide With Me
Dick Chipperfield		https://www.bbc.co.uk/programmes/p009y4sl	Dick Chipperfield	Black's Veterinary Dictionary by E Boden	Cine projector and circus films	Rose of England by Ivor Emmanuel	Roy Plomley	1964-08-03	13:40	Ivor Emmanuel	Rose of England	Kenneth McKellar	Keep Right on to the End of the Road	Harry Secombe	We'll Keep a Welcome	Eileen Donaghy	Forty Shades of Green	Brendan O’Dowda	Father O'Callaghan	Frankie Laine	Granada	Colette Renard	Ca C'est Paris	Eve Boswell	Sarie Marais
Roy MacGregor-Hastie		https://www.bbc.co.uk/programmes/p009y4sr	Roy MacGregor-Hastie	The Day of the Lion by Roy MacGregor-Hastie	Cigarettes	Spring from The Four Seasons by Edvard Grieg	Roy Plomley	1964-07-27	13:40	Beniamino Gigli	Core 'ngrato	Antonio Vivaldi	The Four Seasons - Spring	Humphrey Lyttelton and His Band	Careless Love Blues	Red Army Ensemble	Tipperary	Léo Delibes	Waltz (from Coppélia)	Barbu Lautaru Popular Ensemble	Hura	Mamadi Dioubate	Solo de Seron	Jean Sibelius	Karelia Suite - 1st movement (Intermezzo)
David Wynne		https://www.bbc.co.uk/programmes/p009y4t6	David Wynne	English translations and original Italian works by Dante Alighieri	Cocoa	Goldberg Variations 13-15 by Johann Sebastian Bach	Roy Plomley	1964-07-20	13:40	Wolfgang Amadeus Mozart	Clarinet Concerto in A major	Ludwig van Beethoven	Violin Concerto in D major	Amelita Galli-Curci	Home Sweet Home	The Beatles	I Saw Her Standing There	Heinrich Schütz	The Resurrection	King's College Chapel Choir	Once in Royal David's City	Johann Sebastian Bach	Goldberg variations - Variations Nos. 13 -15	Wolfgang Amadeus Mozart	Symphony No. 41 in C major 'Jupiter'
Vanessa Redgrave		https://www.bbc.co.uk/programmes/p009y4tf	Vanessa Redgrave	Anna Karenina by Leo Tolstoy	Coffee and condensed milk	Voice of the Stars by Shirley Temple, Will Hay & Grace Moore	Roy Plomley	1964-07-13	13:40	Shirley Temple, Will Hay & Grace Moore	Voice of the Stars	François Couperin	La Steinquerque	Benjamin Britten	Kyrie (from Missa brevis in D major)	Jeanne Moreau	Le Tourbillon	Johann Sebastian Bach/Loussier	Prelude and Fugue No 1	Black Orpheus	Samba De Orfeu	Wolfgang Amadeus Mozart	Concerto for Flute & Harp in C Major	Georges Delerue	Generique
Dorian Williams		https://www.bbc.co.uk/programmes/p009y4tm	Dorian Williams	Omnibus edition of Surtees	Writing materials	Praise to the Holiest in the Height by Edward Elgar	Roy Plomley	1964-07-06	13:40	Sergey Rachmaninov	Piano Concerto No. 2 in C minor	Charles Trenet	La Mer	Peter Ilyich Tchaikovsky	Romeo and Juliet Fantasy Overture	Jean Sibelius	Symphony No. 2 in D major	Giacomo Puccini	O soave fanciulla (from La Bohème)	Edward Elgar	The Dream of Gerontius - Praise to the Holiest	Noel Coward & Gertrude Lawrence	Private Lives Act 1	Royal Marines Massed Bands	Sunset
Glen Byam Shaw		https://www.bbc.co.uk/programmes/p009y4tt	Glen Byam Shaw	War and Peace by Leo Tolstoy	First-aid kit	The Last Post	Roy Plomley	1964-06-29	13:40	Wolfgang Amadeus Mozart	Cosi fan tutte Overture	Angela Baddeley	Kate in the Call Box	Ludwig van Beethoven	Symphony No. 9 in D minor 'Choral'	Igor Stravinsky	Anne Truelove's aria (from The Rake's Progress)	Bing Crosby & Louis Armstrong	Now You Has Jazz	Louis Armstrong & His Orchestra	When the Saints Go Marching In	Wolfgang Amadeus Mozart	Andrò ramingo e solo (from Idomeneo)	Remembrance Festival at the Royal Albert Hall 1928	The Last Post
Kenneth Connor		https://www.bbc.co.uk/programmes/p009y4tz	Kenneth Connor	Margin Released by J B Priestley	Guitar	Little Bit This, Little Bit That by Jimmy Durante	Roy Plomley	1964-06-22	13:40		I Love You, Samantha	Augusto Camacho	Quandos os Sinos Dobram	Jimmy Durante	Little Bit This, Little Bit That	The Banjo Kings	Down South	Frank Sinatra	East of the Sun	Ludwig van Beethoven	Piano Sonata No. 14 in C sharp minor, Op.27/2 'Moonlight'	Frédéric Chopin/Désormière	Nocturne (from Les Sylphides)	Royal Yacht Band	A Life on the Ocean Wave
Paul Tortelier		https://www.bbc.co.uk/programmes/p009y4v6	Paul Tortelier	La Petite chronique d'Anna Magdalena Bach by Esther Meynell	Bicycle and cider	Er, der Herrlichste von Allen from Frauenliebe und Leben by Robert Schumann	Roy Plomley	1964-06-15	13:40	Maurice Ravel	Daphnis and Chloe -Daybreak	Gabriel Fauré	Pénélope Prelude	Robert Schumann	Er, der Herrlichste von allen (from Frauenliebe und -leben)	Franz Schubert	String Quintet in C major	Ella Fitzgerald	How High the Moon	Wolfgang Amadeus Mozart	Sinfonia Concertante in E flat major	Johann Sebastian Bach	Christmas Oratorio - Jauchzet, frohlocket!	Johann Sebastian Bach	Brandenburg Concerto No. 1 in F major
Harry Wheatcroft		https://www.bbc.co.uk/programmes/p009y4vd	Harry Wheatcroft	Lives by Plutarch	Rose trees	Clair de Lune by Claude Debussy	Roy Plomley	1964-06-08	13:40	Claude Debussy	Clair de lune (from Suite bergamasque)	Arthur Sullivan	When All Night Long	Peter Ilyich Tchaikovsky	Swan Lake	Georges Bizet	Votre toast (Toreador's Song) (from Carmen)	Nikolai Rimsky-Korsakov	Flight of the bumble-bee (from The Tale of Tsar Saltan)	Sergey Rachmaninov	Prelude in C sharp minor, Op. 3/2	Frank Titterton	The English Rose	Arthur Sullivan	When all night long a chap remains (from Iolanthe)
Richard Wattis		https://www.bbc.co.uk/programmes/p009y4vk	Richard Wattis	The Life of Disraeli by André Maurois	Bed	Piano Concerto No 20 in D Minor by Wolfgang Amadeus Mozart	Roy Plomley	1964-06-01	13:40	Kenny Ball & His Jazzmen	I Love You, Samantha	Wolfgang Amadeus Mozart	Piano Concerto No. 20 in D minor	Jack Cassidy	Dear Little Girl	Domenico Modugno and his Quintet	Ventu D'Estati	Marlene Dietrich	Where Have All the Flowers Gone?	Sergey Rachmaninov	Prelude in B minor, Op 32 no.10	Gérard La Viny	Adieu Tristesse	Jean Sibelius	Symphony No. 2 in D major
David Jacobs		https://www.bbc.co.uk/programmes/p009y4w0	David Jacobs	A Hundred-and-One Things a Girl Can Do	Piano and family photographs	God Be in My Head by Temple Church Choir	Roy Plomley	1964-05-25	13:40	Duke Ellington and His Orchestra	Satin Doll	Judy Garland	The Trolley Song	Peter Ilyich Tchaikovsky	Romeo and Juliet Fantasy Overture	The Beatles	She Loves You	The Choir of Temple Church	God Be in My Head	Ella Fitzgerald	Manhattan	Erroll Garner	It's the Talk of the Town		I Love You, Samantha
Dame Edith Evans		https://www.bbc.co.uk/programmes/p009y4wq	Dame Edith Evans	Science and Health, with a Key to the Scriptures by Mary Baker Eddy	Photographs	Casta Diva (from Norma) by Vincenzo Bellini	Roy Plomley	1964-05-18	13:40	Johannes Brahms	Alto Rhapsody	William Shakespeare	Shall I Compare Thee to a Summers Day? (Sonnet 18)	Peter Ustinov	The Grand Prix of Gibraltar	Vincenzo Bellini	Casta diva (from Norma)	Noël Coward	Mad Dogs and Englishmen	Red Army Ensemble	Kalinka	Frankie Laine	Rawhide	Ezio Pinza	Some Enchanted Evening
David Kossoff		https://www.bbc.co.uk/programmes/p009y4x4	David Kossoff	Story of the Marx Brothers	Michelangelo's David	Hava Nagila by Harry Belafonte	Roy Plomley	1964-05-11	13:40	Giacomo Puccini	Si, mi chiamano Mimi (from La Bohème)	Chita Rivera	America	Édith Piaf	Non, Je ne regrette rien	Harry Belafonte	Hava Nagila	Amália Rodrigues	Doce Cascabeles	Aram Khachaturian	Violin Concerto in D minor	Ludwig van Beethoven	Symphony No. 7 in A major
Jim Clark		https://www.bbc.co.uk/programmes/p009y4xm	Jim Clark	At the Wheel by Jim Clark	Radio receiver	The Party's Over by Peggy Lee	Roy Plomley	1964-05-04	13:40	Glasgow Orpheus Choir	By Cool Siloam's Shady Rill	Chris Barber's Jazz Band	Whistlin' Rufus	Jimmy Shand and His Band	The Double Foursome	Billy J. Kramer with The Dakotas	Little Children	Gerard Hoffnung	Speech at the Oxford Union	William Walton	Sheep May Safely Graze from The Wise Virgins Suite	Andy Stewart	The Muckin' o' Geordie's Byre	Peggy Lee	The Party's Over
Rex Alston		https://www.bbc.co.uk/programmes/p009y4y7	Rex Alston	Set of Wisden	Bed	Abide With Me by King's College Chapel Choir	Roy Plomley	1964-04-27	13:40	Johannes Brahms	Rede, Mädchen, allzu Liebes (from Liebeslieder, Op. 52)	Fred Astaire	Cheek To Cheek	King's College Chapel Choir	Abide With Me	Humphrey Lyttelton and His Band	The Old Grey Mare	Lord Kitchener & Fredy Grant's Caribbean Rhythm	The Denis Compton Calypso	Bob Sharples	Waltzing Matilda	John Boulter and the George Mitchell Minstrels	When I Grow Too Old to Dream	George Frideric Handel	Where'er you walk (from Semele)
Ian Wallace		https://www.bbc.co.uk/programmes/p009y4ys	Ian Wallace	Short stories by W. Somerset Maugham	Guitar	I Wonder as I Wander by Salli Terri	Roy Plomley	1964-04-20	13:40	Wally Stott & His Orchestra	Music Hall Burlesque	Francis Poulenc	L'Embarquement pour Cythère	Ezio Pinza	Welcome Home	Michael Flanders and Donald Swann	A Gnu	Kenneth McKellar	Scotland the Brave	Salli Terri	I Wonder as I Wander	Gioachino Rossini	Un segreto d'importanza (from La Cenerentola)	Ludwig van Beethoven	Symphony No. 9 in D minor 'Choral'
Stan Barstow		https://www.bbc.co.uk/programmes/p009y4z7	Stan Barstow	The Modern Short Story by H E Bates	Writing materials	Symphony No 2 in E Flat by Edward Elgar	Roy Plomley	1964-04-13	13:40	Jerome Moross	The Big Country	Benny Goodman and His Orchestra	Clarinet a la King	Richard Strauss	Don Quixote	Edward Elgar	Symphony No. 2 in E flat major	Johannes Brahms	Symphony No. 2 in D major	Artie Shaw and His Orchestra	Moonglow	Jean Sibelius	Symphony No. 5 in E flat major		Moose March
Sir Miles Thomas		https://www.bbc.co.uk/programmes/p009y4zr	Sir Miles Thomas	The Second World War by Sir Winston Churchill	Toothpaste	Noel Coward Fantasy by Melachrino Orchestra	Roy Plomley	1964-04-06	13:40	David Lloyd	March of the Men of Harlech	Florrie Forde	Swing Me Higher, Obadiah	Jack Teagarden and His Orchestra	Chinatown, My Chinatown	Lucienne Boyer	Parlez-Moi D'Amour	New Bohemians	Sizilietta	Sid Phillips & His Band	Hor d'oeuvres	The Melachrino Strings And Orchestra	Noel Coward Fantasy	Frank Ifield	Don't Blame Me
Wilfrid Brambell		https://www.bbc.co.uk/programmes/p009y506	Wilfrid Brambell	Dictionary	Scotch whisky and lager	Jesu, Joy of Man's Desiring by Bach/Hess	Roy Plomley	1964-03-30	13:40	Ludwig van Beethoven	Symphony No. 7 in A major	Maurice Chevalier	Louise	Maggie Teyte & Gerald Moore	Plaisir d'Amour	Johann Sebastian Bach	Jesu, Joy of Mans Desiring from Cantata BWV 147	Georges Bizet	Serenade (from The Fair Maid of Perth Suite)	Wolfgang Amadeus Mozart	Der Hölle Rache (from The Magic Flute)	Frank Sinatra	These Foolish Things	Wolfgang Amadeus Mozart	Là ci darem la mano (from Don Giovanni)
Wilson Whineray		https://www.bbc.co.uk/programmes/p009y50t	Wilson Whineray	History of the English-Speaking Peoples by Sir Winston Churchill	Guitar	Largo (from Xerxes) by George Frideric Handel	Roy Plomley	1964-02-08	13:40	Robert Goulet	I Talk to the Trees	Kid Oryʼs Creole Jazz Band	Oh, Didn't He Ramble	Giuseppe Verdi	Va, pensiero, sull'ali dorate (Chorus of the Hebrew Slaves) (from Nabucco)	Miriam Makeba	One More Dance	Ella Fitzgerald	Isn't it Romantic?	Deane Waretini & the Arawa Concert Party	Kara Karu (Maori Fishing Chant)	Nina & Frederik	Listen to the Ocean	George Frideric Handel	Ombra mai fu (Largo) (from Xerxes)
Julie Andrews		https://www.bbc.co.uk/programmes/p009y51b	Julie Andrews	The Once and Future King by T H White	Piano	Piano Concerto No 2 in B Flat by Johannes Brahms	Roy Plomley	1964-02-03	13:40	André Previn	A Portrait of Bert Williams	Giacomo Puccini	Nessun dorma	Bing Crosby & Mary Martin	Wait Till the Sun Shines, Nellie	Johannes Brahms	Piano Concerto No. 2 in B flat major	Ethel Merman	Small World	Vincenzo Bellini	Casta diva (from Norma)	David Rose and His Orchestra	The Stripper	Maurice Ravel	Daphnis and Chloe
Regina Resnik		https://www.bbc.co.uk/programmes/p009y51h	Regina Resnik	Book with blank pages and a pen	Toothbrush	Piano Sonata in G Major (Opus 37) by Pyotr Ilyich Tchaikovsky	Roy Plomley	1964-01-27	13:40	Giuseppe Verdi	Dies irae (from Requiem Mass)	Johannes Brahms	Violin Concerto in D Major	Gaspare Spontini	O Nume Tutelar (from La vestale)	Heitor Villa‐Lobos	Bachianas brasileiras No. 5	Ludwig van Beethoven	Symphony No. 7 in A major	Enrico Caruso	Rachel! Quand de Signeur le Grace Tutelaire	Peter Ustinov & Anthony Hopkins	Mock Mozart	Peter Ilyich Tchaikovsky	Piano Concerto No. 2 in G major
Richard Attenborough		https://www.bbc.co.uk/programmes/p009y51l	Richard Attenborough	Biography of Mahatma Gandhi	Piano and a conductor's baton	Symphony No 9 by Ludwig van Beethoven	Roy Plomley	1964-01-20	13:40	George Frideric Handel	Hallelujah Chorus (from Messiah)	Edward Elgar	Symphony No. 1 in A flat major	Peter Ilyich Tchaikovsky	Nutcracker Suite	George Frideric Handel/Beecham	Love in Bath - Hornpipe	Gerard Souzay & Dalton Baldwin	Azualao	Judy Garland	Swanee	Ellabelle Davis	Were You There?	Ludwig van Beethoven	Symphony No. 9 in D minor 'Choral'
Leslie Baily		https://www.bbc.co.uk/programmes/p009y51r	Leslie Baily	Come Hither - an anthology of poetry by Walter de la Mare	Woodworker Tools	Piano Concerto No 2 in C Minor by Sergei Rachmaninov	Roy Plomley	1964-01-13	13:40	Peter Ilyich Tchaikovsky	Sleeping Beauty - Act 3 Pas de deux	Peter Pears & Benjamin Britten	Early One Morning	Lewis Carroll	The Lobster Quadrille from Alice in Wonderland	The Andrews Sisters	Last Night on the Back Porch	George Frideric Handel	And the glory of the Lord (from Messiah)	Arthur Sullivan/Mackerras	Pineapple Poll	Edward Elgar	Violin Concerto in B Minor	Sergey Rachmaninov	Piano Concerto No. 2 in C minor
Ethel Revnell		https://www.bbc.co.uk/programmes/p009y51x	Ethel Revnell	Biography of Bette Davis	Writing materials	British Institutions: the Police by Tony Faye	Roy Plomley	1964-01-06	13:40	Tommy Steele & Marti Webb	Half a Sixpence		I Remember it Well (from Gigi)	Vera Lynn	The London I Love	Peter Ilyich Tchaikovsky	Piano Concerto No. 1 in B flat minor	Judy Garland	April Showers	Tony Faye	British Institutions: the Police	Billy Cotton & His Band	Soldiers of the Queen	Ethel Revnell & Gracie West	Looking After the Baby
Dorita & Pepe		https://www.bbc.co.uk/programmes/p009y522	Dorita & Pepe	The Lord of the Rings by J R R Tolkien and fashion magazines	Guitar and a cine projecter with Silvester films	Mborayjhu Mombyry by Trio Los Paraguayos	Roy Plomley	1964-01-04	13:40	John Williams	Sonatina	Quintette du Hot Club de France	I Saw Stars	Johann Sebastian Bach/Stokowski	Toccata and Fugue in D Minor	Mexico Symphony Orchestra	Huapango	Los Paraguayos	Mborayjhu Mombyry	Los Panchos	Historia de un Amor	Johnny Dankworth & His Orchestra	Ghosts	Los Tres Reyes	Memorias Mias
Cyril Smith & Phyllis Sellick		https://www.bbc.co.uk/programmes/p009y527	Cyril Smith & Phyllis Sellick	The Oxford Book of English Verse and Encyclopaedia Britannica	Picture of children and a microphone & amplifier	Piano Concerto No 2 in B Flat by Johannes Brahms	Roy Plomley	1963-12-30	13:40	Robert Schumann	Reconnaissance (from Carnaval)	Ralph Vaughan Williams	Serenade to Music	Johannes Brahms	Piano Concerto No. 2 in B flat major	Franz Schubert	Piano Trio No. 1 in B flat major	Cyril Smith and Phylis Sellick	Galop	Johann Sebastian Bach	Concerto for Two Violins in D minor	Jean Sibelius	Symphony No. 5 in E flat major	Sergey Rachmaninov	Rhapsody on a Theme of Paganini
Nicolai Poliakoff		https://www.bbc.co.uk/programmes/p009y52g	Nicolai Poliakoff	Dictionary	Writing materials	Black Eyes by Balalaika Orchestra	Roy Plomley	1963-12-23	13:40	Ringling Brothers Barnum & Bailey Circus Band	Entry of the Gladiators	Red Army Ensemble	Kalinka	Peter Ilyich Tchaikovsky	Swan Lake	Joe Loss & His Orchestra	The Anniversary Waltz	Giacomo Puccini	Madama Butterfly Act 2 (finale)	Richard Tauber	Ich Glaub' Nie Mehr an Eine Frau	Balalaika Orchestra	Black Eyes	Coco the Clown	The Story of Charlie
Harford Montgomery Hyde		https://www.bbc.co.uk/programmes/p009y52m	Harford Montgomery Hyde	Life of Johnson by James Boswell	Brandy	Piano Concerto No 5 in E Flat Major by Ludwig van Beethoven	Roy Plomley	1963-12-16	13:40	George Frideric Handel	Where'er you walk (from Semele)	Wolfgang Amadeus Mozart	Divertimento in E flat major for String Trio, K 563	Wolfgang Amadeus Mozart	Ruhe sanft, mein holdes Leben (from Zäide)	Wolfgang Amadeus Mozart	Sinfonia Concertante in E flat major	Wolfgang Amadeus Mozart	Dies Bildnis ist bezaubernd schön (from The Magic Flute)	Ludwig van Beethoven	Piano Concerto No. 5 in E flat major 'Emperor'	Peter Ilyich Tchaikovsky	Waltz (from Eugene Onegin)	Kenneth McKellar	The Lark in the Clear Air
Millicent Martin		https://www.bbc.co.uk/programmes/p009y52t	Millicent Martin	A Way of Life by Laozi	Four poster bed	I Am by Ronnie Carroll	Roy Plomley	1963-12-09	13:40	Herb Ellis	It Can Happen to You	Edward Elgar	Pomp & Circumstance March No. 4 in G major	Modest Mussorgsky	Simpleton's Aria (from Boris Godunov)	Wardell Gray	Southside	Giacomo Puccini	In questa Reggia (from Turandot)	Dylan Thomas	Under Milk Wood	Ronnie Carroll	I Am	Johann Sebastian Bach	Fugue in D Minor
